Run ID,Ruleset,Shoe ID,Rounds,Counter Net,Basic Net,Max Bet Opportunities,Max Bets Placed,TC-4 Freq,TC-4 Wins,TC-4 Losses,TC-4 WinRate,TC-3 Freq,TC-3 Wins,TC-3 Losses,TC-3 WinRate,TC-2 Freq,TC-2 Wins,TC-2 Losses,TC-2 WinRate,TC-1 Freq,TC-1 Wins,TC-1 Losses,TC-1 WinRate,TC+0 Freq,TC+0 Wins,TC+0 Losses,TC+0 WinRate,TC+1 Freq,TC+1 Wins,TC+1 Losses,TC+1 WinRate,TC+2 Freq,TC+2 Wins,TC+2 Losses,TC+2 WinRate,TC+3 Freq,TC+3 Wins,TC+3 Losses,TC+3 WinRate,TC+4 Freq,TC+4 Wins,TC+4 Losses,TC+4 WinRate
1,FullHiLoRules,8473,16,0.0,5.0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0,0,,7,0,0,,2,0,0,,3,0,0,,0,0,0,
1,FullHiLoRules,8474,15,0.0,11.25,0,0,0,0,0,,2,0,0,,5,0,0,,3,0,0,,4,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8475,15,0.0,1.25,0,0,0,0,0,,0,0,0,,1,0,0,,0,0,0,,11,0,0,,2,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8476,14,0.0,63.75,0,0,3,0,0,,2,0,0,,1,0,0,,0,0,0,,6,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8477,16,0.0,47.5,0,0,7,0,0,,5,0,0,,3,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8478,14,0.0,32.5,6,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0,0,,2,0,0,,2,0,0,,0,0,0,,6,0,0,
1,FullHiLoRules,8479,15,0.0,-16.25,0,0,1,0,0,,1,0,0,,3,0,0,,3,0,0,,7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8480,15,0.0,-18.75,0,0,10,0,0,,1,0,0,,0,0,0,,2,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8481,15,0.0,-21.25,2,0,0,0,0,,0,0,0,,0,0,0,,5,0,0,,2,0,0,,4,0,0,,1,0,0,,1,0,0,,2,0,0,
1,FullHiLoRules,8482,15,0.0,2.5,2,0,0,0,0,,0,0,0,,0,0,0,,1,0,0,,2,0,0,,3,0,0,,3,0,0,,4,0,0,,2,0,0,
1,FullHiLoRules,8483,15,0.0,-55.0,0,0,2,0,0,,3,0,0,,2,0,0,,2,0,0,,5,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8484,15,0.0,28.75,0,0,0,0,0,,0,0,0,,0,0,0,,5,0,0,,6,0,0,,0,0,0,,2,0,0,,2,0,0,,0,0,0,
1,FullHiLoRules,8485,14,0.0,3.75,1,0,0,0,0,,0,0,0,,4,0,0,,3,0,0,,3,0,0,,1,0,0,,0,0,0,,2,0,0,,1,0,0,
